anchor_id,tag
32,pat_ds::string::stack-topic::bracket-match
33,pat_topic::binary-search::bs-rotated
33,pat_ds::array::binary-search::bs-rotated
34,pat_topic::binary-search::bs-textbook
34,pat_ds::array::binary-search::bs-textbook
35,pat_topic::binary-search::bs-textbook
35,pat_ds::array::binary-search::bs-textbook
36,pat_ds::matrices::hash::seen-set
37,pat_topic::backtrack::board-fill
37,pat_ds::matrices::backtrack::board-fill
39,pat_topic::backtrack::subset-combination
39,pat_ds::array::backtrack::subset-combination
39,pat_topic::dfs::dfs-backtrack-undo
39,pat_ds::array::dfs::dfs-backtrack-undo
40,pat_topic::backtrack::subset-combination
40,pat_ds::array::backtrack::subset-combination
41,pat_ds::array::core::index-as-hash
42,pat_topic::stack-topic::monotonic-stack
42,pat_ds::array::stack-topic::monotonic-stack
42,pat_ds::array::two-pointers::tp-area-greedy
44,pat_ds::string::core::edit-distance-dp
44,pat_topic::dp::dp-2-strings
44,pat_ds::string::dp::dp-2-strings
45,pat_ds::array::greedy::running-extreme
46,pat_topic::backtrack::permutation
46,pat_ds::array::backtrack::permutation
46,pat_topic::dfs::dfs-backtrack-undo
46,pat_ds::array::dfs::dfs-backtrack-undo
47,pat_topic::backtrack::permutation
47,pat_ds::array::backtrack::permutation
48,pat_ds::array::core::rotate-reverse
48,pat_ds::matrices::core::mat-rotate
49,pat_ds::string::core::anagram-keying
49,pat_topic::hash::freq-counter
49,pat_ds::string::hash::freq-counter
50,pat_topic::math::fast-power
50,pat_ds::array::math::fast-power
51,pat_topic::backtrack::board-fill
51,pat_ds::array::backtrack::board-fill
51,pat_topic::dfs::dfs-backtrack-undo
51,pat_ds::array::dfs::dfs-backtrack-undo
52,pat_topic::backtrack::board-fill
52,pat_ds::array::backtrack::board-fill
53,pat_ds::array::core::kadane
53,pat_topic::greedy::running-extreme
53,pat_ds::array::greedy::running-extreme
54,pat_ds::matrices::core::mat-spiral
55,pat_ds::array::greedy::running-extreme
56,pat_topic::greedy::sort-and-sweep
56,pat_ds::array::greedy::sort-and-sweep
56,pat_ds::array::interval::interval-sort-start-merge
57,pat_topic::greedy::sort-and-sweep
57,pat_ds::array::greedy::sort-and-sweep
57,pat_ds::array::interval::interval-sort-start-merge
58,pat_ds::string::two-pointers::tp-converging
59,pat_ds::matrices::core::mat-spiral
60,pat_topic::backtrack::permutation
60,pat_ds::array::backtrack::permutation
61,pat_ds::linked-list::two-pointers::tp-fast-slow
62,pat_topic::dp::dp-2d-grid
62,pat_ds::array::dp::dp-2d-grid
63,pat_topic::dp::dp-2d-grid
63,pat_ds::matrices::dp::dp-2d-grid
64,pat_topic::dp::dp-2d-grid
64,pat_ds::matrices::dp::dp-2d-grid
66,pat_ds::array::math::digit-number-construct
67,pat_ds::string::two-pointers::tp-converging
68,pat_topic::simulation::line-format
69,pat_topic::binary-search::bs-on-answer
70,pat_topic::dp::dp-1d-linear
70,pat_ds::array::dp::dp-1d-linear
71,pat_ds::string::stack-topic::parens-rewrite
72,pat_ds::string::core::edit-distance-dp
72,pat_topic::dp::dp-2-strings
72,pat_ds::string::dp::dp-2-strings
73,pat_ds::matrices::core::mat-set-zeros
74,pat_ds::matrices::binary-search::bs-textbook
75,pat_ds::array::core::in-place-read-write
76,pat_ds::string::core::minimum-window
76,pat_topic::sliding-window::sw-shrink-violation
76,pat_ds::string::sliding-window::sw-shrink-violation
77,pat_ds::array::backtrack::subset-combination
78,pat_topic::backtrack::subset-combination
78,pat_ds::array::backtrack::subset-combination
78,pat_topic::bits::bitmask-enumerate
78,pat_ds::array::bits::bitmask-enumerate
78,pat_topic::dfs::dfs-backtrack-undo
78,pat_ds::array::dfs::dfs-backtrack-undo
79,pat_topic::backtrack::word-search-dfs
79,pat_ds::matrices::backtrack::word-search-dfs
79,pat_topic::dfs::dfs-backtrack-undo
79,pat_ds::matrices::dfs::dfs-backtrack-undo
79,pat_topic::trie-topic::trie-grid-dfs
79,pat_ds::matrices::trie-topic::trie-grid-dfs
80,pat_ds::array::core::in-place-read-write
81,pat_topic::binary-search::bs-rotated
81,pat_ds::array::binary-search::bs-rotated
82,pat_ds::linked-list::core::dummy-head-merge
84,pat_topic::stack-topic::monotonic-stack-2pass
84,pat_ds::array::stack-topic::monotonic-stack-2pass
84,pat_ds::array::stack-topic::monotonic-stack-spans
85,pat_ds::matrices::stack-topic::monotonic-stack-spans
86,pat_ds::linked-list::two-pointers::tp-fast-slow
87,pat_topic::dp::interval-dp
87,pat_ds::string::dp::interval-dp
88,pat_topic::two-pointers::tp-merge-walk
88,pat_ds::array::two-pointers::tp-merge-walk
88,pat_topic::sorting::sort-then-twoptr
88,pat_ds::array::sorting::sort-then-twoptr
90,pat_topic::backtrack::subset-combination
90,pat_ds::array::backtrack::subset-combination
90,pat_topic::bits::bitmask-enumerate
90,pat_ds::array::bits::bitmask-enumerate
91,pat_topic::dp::dp-1d-linear
91,pat_ds::string::dp::dp-1d-linear
92,pat_ds::linked-list::core::iterative-reverse
93,pat_topic::backtrack::partition-on-string
93,pat_ds::string::backtrack::partition-on-string
94,pat_topic::dfs::dfs-tree-orders
94,pat_ds::tree::dfs::dfs-tree-orders
94,pat_topic::dfs::dfs-iterative-stack
94,pat_ds::tree::dfs::dfs-iterative-stack
95,pat_topic::dp::interval-dp
95,pat_ds::bst::dp::interval-dp
96,pat_topic::dp::interval-dp
96,pat_ds::bst::dp::interval-dp
97,pat_topic::dp::dp-2-strings
97,pat_ds::string::dp::dp-2-strings
98,pat_ds::bst::core::inorder-bst
98,pat_ds::bst::core::bst-bounds-validate
99,pat_ds::bst::core::inorder-bst
100,pat_ds::tree::dfs::dfs-parallel-trees
101,pat_ds::tree::dfs::dfs-parallel-trees
102,pat_topic::bfs::bfs-level-order
102,pat_ds::tree::bfs::bfs-level-order
103,pat_topic::bfs::bfs-level-order
103,pat_ds::tree::bfs::bfs-level-order
104,pat_ds::tree::core::post-order-depth
104,pat_topic::dfs::dfs-tree-orders
104,pat_ds::tree::dfs::dfs-tree-orders
105,pat_ds::tree::core::construct-from-traversals
106,pat_ds::tree::core::construct-from-traversals
108,pat_ds::tree::dfs::dfs-template
110,pat_ds::tree::core::post-order-depth
111,pat_ds::tree::bfs::bfs-level-order
112,pat_ds::tree::core::path-sum-dfs
113,pat_ds::tree::core::path-sum-dfs
114,pat_ds::tree::dfs::dfs-tree-orders
115,pat_topic::dp::dp-2-strings
115,pat_ds::string::dp::dp-2-strings
116,pat_ds::tree::bfs::bfs-level-connect
117,pat_ds::tree::bfs::bfs-level-connect
118,pat_ds::array::dp::dp-row-build
119,pat_ds::array::dp::dp-row-build
120,pat_ds::array::dp::dp-row-build
121,pat_topic::dp::state-machine-dp
121,pat_ds::array::dp::state-machine-dp
121,pat_topic::greedy::running-extreme
121,pat_ds::array::greedy::running-extreme
122,pat_topic::dp::state-machine-dp
122,pat_ds::array::dp::state-machine-dp
122,pat_topic::greedy::running-extreme
122,pat_ds::array::greedy::running-extreme
123,pat_topic::dp::state-machine-dp
123,pat_ds::array::dp::state-machine-dp
124,pat_ds::tree::core::post-order-depth
124,pat_topic::dp::tree-dp
124,pat_ds::tree::dp::tree-dp
124,pat_topic::dfs::dfs-tree-orders
124,pat_ds::tree::dfs::dfs-tree-orders
125,pat_ds::string::core::palindrome-two-ptr
125,pat_topic::two-pointers::tp-converging
125,pat_ds::string::two-pointers::tp-converging
126,pat_ds::string::core::word-ladder-bfs
126,pat_topic::bfs::bfs-bidirectional
126,pat_ds::string::bfs::bfs-bidirectional
127,pat_ds::string::core::word-ladder-bfs
127,pat_topic::bfs::bfs-shortest-unweighted
127,pat_ds::string::bfs::bfs-shortest-unweighted
127,pat_topic::bfs::bfs-bidirectional
127,pat_ds::string::bfs::bfs-bidirectional
128,pat_ds::array::hash::hash-chain-build
129,pat_ds::tree::core::path-sum-dfs
130,pat_ds::graph::core::cc-dfs-uf
130,pat_ds::matrices::core::mat-grid-dfs-bfs
130,pat_topic::dfs::dfs-grid-flood
130,pat_ds::matrices::dfs::dfs-grid-flood
131,pat_topic::backtrack::partition-on-string
131,pat_ds::string::backtrack::partition-on-string
133,pat_topic::dfs::dfs-template
133,pat_ds::graph::dfs::dfs-template
134,pat_ds::array::greedy::running-extreme
135,pat_ds::array::greedy::running-extreme
136,pat_topic::bits::xor-cancel
136,pat_ds::array::bits::xor-cancel
137,pat_topic::bits::xor-cancel
137,pat_ds::array::bits::xor-cancel
138,pat_ds::linked-list::hash::seen-set
139,pat_topic::dp::dp-1d-linear
139,pat_ds::string::dp::dp-1d-linear
140,pat_topic::backtrack::partition-on-string
140,pat_ds::string::backtrack::partition-on-string
141,pat_ds::linked-list::core::floyd-cycle
141,pat_topic::hash::seen-set
141,pat_ds::linked-list::hash::seen-set
141,pat_topic::two-pointers::tp-fast-slow
141,pat_ds::linked-list::two-pointers::tp-fast-slow
142,pat_ds::linked-list::core::floyd-cycle
142,pat_topic::two-pointers::tp-fast-slow
142,pat_ds::linked-list::two-pointers::tp-fast-slow
143,pat_ds::linked-list::core::slow-fast-middle
144,pat_topic::dfs::dfs-tree-orders
144,pat_ds::tree::dfs::dfs-tree-orders
144,pat_topic::dfs::dfs-iterative-stack
144,pat_ds::tree::dfs::dfs-iterative-stack
145,pat_topic::dfs::dfs-tree-orders
145,pat_ds::tree::dfs::dfs-tree-orders
145,pat_topic::dfs::dfs-iterative-stack
145,pat_ds::tree::dfs::dfs-iterative-stack
146,pat_ds::linked-list::core::dll-cache-design
148,pat_ds::linked-list::sorting::merge-sort-counting
149,pat_ds::array::hash::freq-counter
150,pat_topic::stack-topic::expression-eval
150,pat_ds::array::stack-topic::expression-eval
151,pat_ds::array::core::rotate-reverse
152,pat_ds::array::core::kadane
152,pat_topic::greedy::running-extreme
152,pat_ds::array::greedy::running-extreme
153,pat_topic::binary-search::bs-rotated
153,pat_ds::array::binary-search::bs-rotated
154,pat_topic::binary-search::bs-rotated
154,pat_ds::array::binary-search::bs-rotated
155,pat_ds::stack::core::min-stack-design
158,pat_ds::string::core::in-place-read-write
159,pat_ds::string::sliding-window::sw-distinct-count
160,pat_ds::linked-list::core::aligned-intersect
161,pat_ds::string::two-pointers::tp-converging
162,pat_topic::binary-search::bs-rotated
162,pat_ds::array::binary-search::bs-rotated
163,pat_ds::array::core::in-place-read-write
167,pat_ds::array::core::two-sum-hash
167,pat_topic::hash::complement-lookup
167,pat_ds::array::hash::complement-lookup
167,pat_topic::sorting::sort-then-twoptr
167,pat_ds::array::sorting::sort-then-twoptr
167,pat_ds::array::two-pointers::tp-k-sum
169,pat_topic::hash::freq-counter
169,pat_ds::array::hash::freq-counter
172,pat_topic::math::sum-formulas
172,pat_topic::math::digit-number-construct
173,pat_ds::bst::core::inorder-bst
173,pat_topic::dfs::dfs-iterative-stack
173,pat_ds::bst::dfs::dfs-iterative-stack
174,pat_topic::dp::dp-2d-grid
174,pat_ds::matrices::dp::dp-2d-grid
179,pat_topic::greedy::exchange-argument
179,pat_ds::string::greedy::exchange-argument
186,pat_ds::string::core::rotate-reverse
187,pat_topic::bits::bitmask-enumerate
187,pat_ds::string::bits::bitmask-enumerate
187,pat_ds::string::hash::seen-set
188,pat_topic::dp::state-machine-dp
188,pat_ds::array::dp::state-machine-dp
189,pat_ds::array::core::rotate-reverse
189,pat_ds::matrices::core::mat-rotate
190,pat_topic::bits::bit-reverse
191,pat_topic::bits::kernighan-popcount
191,pat_ds::array::bits::kernighan-popcount
191,pat_topic::bits::power-of-two-trick
191,pat_ds::array::bits::power-of-two-trick
198,pat_topic::dp::dp-1d-linear
198,pat_ds::array::dp::dp-1d-linear
199,pat_topic::bfs::bfs-level-order
199,pat_ds::tree::bfs::bfs-level-order
200,pat_ds::graph::core::cc-dfs-uf
200,pat_ds::matrices::core::mat-grid-dfs-bfs
200,pat_topic::dfs::dfs-grid-flood
200,pat_ds::matrices::dfs::dfs-grid-flood
200,pat_topic::union-find::uf-basic
200,pat_ds::matrices::union-find::uf-basic
201,pat_topic::bits::power-of-two-trick
202,pat_ds::linked-list::core::floyd-cycle
203,pat_ds::linked-list::core::dummy-head-merge
204,pat_topic::math::sieve
204,pat_ds::array::math::sieve
205,pat_ds::string::hash::bijection-map
206,pat_ds::linked-list::core::iterative-reverse
207,pat_ds::graph::core::topo-sort
207,pat_ds::graph::core::cycle-3color
208,pat_ds::trie::core::trie-basic
209,pat_topic::sliding-window::sw-shrink-violation
209,pat_ds::array::sliding-window::sw-shrink-violation
210,pat_ds::graph::core::topo-sort
211,pat_ds::trie::core::trie-basic
211,pat_ds::trie::core::trie-wildcard
212,pat_topic::backtrack::word-search-dfs
212,pat_ds::matrices::backtrack::word-search-dfs
212,pat_topic::trie-topic::trie-grid-dfs
212,pat_ds::matrices::trie-topic::trie-grid-dfs
213,pat_topic::dp::dp-1d-linear
213,pat_ds::array::dp::dp-1d-linear
214,pat_ds::string::core::string-match-kmp
215,pat_topic::heap::top-k
215,pat_ds::array::heap::top-k
215,pat_topic::sorting::quickselect
215,pat_ds::array::sorting::quickselect
216,pat_topic::backtrack::subset-combination
216,pat_ds::array::backtrack::subset-combination
217,pat_topic::hash::seen-set
217,pat_ds::array::hash::seen-set
219,pat_topic::hash::seen-set
219,pat_ds::array::hash::seen-set
220,pat_ds::array::sliding-window::sw-fixed
221,pat_ds::matrices::dp::dp-2d-square
222,pat_ds::tree::core::post-order-depth
224,pat_topic::stack-topic::expression-eval
224,pat_ds::string::stack-topic::expression-eval
225,pat_ds::stack::core::min-stack-design
225,pat_ds::queue::core::queue-from-stacks
226,pat_ds::tree::dfs::dfs-tree-mutate
227,pat_topic::stack-topic::expression-eval
227,pat_ds::string::stack-topic::expression-eval
228,pat_ds::array::core::in-place-read-write
229,pat_ds::array::hash::freq-counter
230,pat_ds::bst::core::inorder-bst
231,pat_topic::bits::power-of-two-trick
231,pat_ds::array::bits::power-of-two-trick
232,pat_ds::stack::core::min-stack-design
232,pat_ds::queue::core::queue-from-stacks
234,pat_ds::string::core::palindrome-two-ptr
234,pat_ds::linked-list::core::slow-fast-middle
234,pat_ds::linked-list::core::iterative-reverse
234,pat_topic::two-pointers::tp-fast-slow
234,pat_ds::linked-list::two-pointers::tp-fast-slow
235,pat_ds::tree::core::lca-dfs
235,pat_ds::bst::core::bst-lca
236,pat_ds::tree::core::lca-dfs
238,pat_ds::array::prefix-sum::ps-1d
239,pat_topic::deque-topic::monotonic-deque
239,pat_ds::array::deque-topic::monotonic-deque
240,pat_ds::matrices::binary-search::bs-textbook
241,pat_ds::string::backtrack::partition-on-string
242,pat_ds::string::core::anagram-keying
242,pat_topic::hash::freq-counter
242,pat_ds::string::hash::freq-counter
243,pat_ds::array::two-pointers::tp-converging
244,pat_ds::array::two-pointers::tp-merge-walk
245,pat_ds::array::two-pointers::tp-merge-walk
247,pat_ds::string::backtrack::combinatorial-product
249,pat_ds::string::hash::anagram-keying
250,pat_ds::tree::core::post-order-depth
252,pat_topic::greedy::sort-and-sweep
252,pat_ds::array::greedy::sort-and-sweep
252,pat_ds::array::interval::interval-sort-start-overlap
253,pat_topic::greedy::sort-and-sweep
253,pat_ds::array::greedy::sort-and-sweep
254,pat_ds::array::backtrack::subset-combination
255,pat_ds::bst::stack-topic::monotonic-stack
256,pat_ds::array::dp::state-machine-dp
257,pat_ds::tree::core::path-sum-dfs
259,pat_ds::array::two-pointers::tp-k-sum
259,pat_ds::array::two-pointers::tp-count-pairs
260,pat_topic::bits::xor-cancel
260,pat_ds::array::bits::xor-cancel
261,pat_topic::union-find::uf-basic
261,pat_ds::graph::union-find::uf-basic
264,pat_ds::array::dp::dp-1d-linear
265,pat_ds::array::dp::state-machine-dp
266,pat_ds::string::hash::freq-counter
268,pat_ds::array::core::index-as-hash
268,pat_topic::bits::xor-cancel
268,pat_ds::array::bits::xor-cancel
268,pat_topic::math::sum-formulas
268,pat_ds::array::math::sum-formulas
269,pat_ds::graph::core::topo-sort
270,pat_ds::bst::core::inorder-bst
270,pat_ds::bst::core::bst-lca
271,pat_ds::string::core::in-place-read-write
272,pat_ds::bst::core::inorder-bst
274,pat_ds::array::sorting::bucket-sort-freq
275,pat_ds::array::binary-search::bs-textbook
276,pat_ds::array::dp::dp-1d-linear
277,pat_ds::array::greedy::running-extreme
278,pat_topic::binary-search::bs-textbook
278,pat_ds::array::binary-search::bs-textbook
279,pat_topic::dp::knapsack-unbounded
279,pat_ds::array::dp::knapsack-unbounded
280,pat_ds::array::greedy::running-extreme
281,pat_topic::design::multi-stream-iterator
282,pat_topic::backtrack::partition-on-string
282,pat_ds::string::backtrack::partition-on-string
283,pat_ds::array::core::in-place-read-write
285,pat_ds::bst::core::inorder-bst
285,pat_ds::bst::core::bst-lca
286,pat_topic::bfs::bfs-multi-source
286,pat_ds::matrices::bfs::bfs-multi-source
287,pat_ds::array::core::index-as-hash
287,pat_ds::linked-list::core::floyd-cycle
287,pat_topic::hash::seen-set
287,pat_ds::array::hash::seen-set
287,pat_topic::two-pointers::tp-fast-slow
287,pat_ds::array::two-pointers::tp-fast-slow
289,pat_topic::simulation::grid-simulate
290,pat_ds::string::hash::bijection-map
291,pat_ds::string::backtrack::partition-on-string
293,pat_ds::string::backtrack::partition-on-string
294,pat_ds::string::backtrack::partition-on-string
295,pat_topic::heap::two-heap-median
295,pat_ds::array::heap::two-heap-median
297,pat_ds::tree::core::serialize-tree
298,pat_ds::tree::hash::hash-chain-build
299,pat_ds::string::hash::freq-counter
300,pat_ds::array::dp::dp-lis
301,pat_ds::string::backtrack::partition-on-string
303,pat_topic::prefix-sum::ps-1d
303,pat_ds::array::prefix-sum::ps-1d
304,pat_ds::array::core::prefix-sum-hashmap
304,pat_topic::prefix-sum::ps-2d
304,pat_ds::matrices::prefix-sum::ps-2d
305,pat_topic::union-find::uf-reverse-time
305,pat_ds::array::union-find::uf-reverse-time
309,pat_topic::dp::state-machine-dp
309,pat_ds::array::dp::state-machine-dp
310,pat_ds::graph::core::topo-sort
311,pat_ds::matrices::core::mat-grid-dfs-bfs
312,pat_topic::dp::interval-dp
312,pat_ds::array::dp::interval-dp
314,pat_ds::tree::bfs::bfs-position-tracked
315,pat_topic::sorting::merge-sort-counting
315,pat_ds::array::sorting::merge-sort-counting
316,pat_topic::stack-topic::parens-rewrite
316,pat_ds::string::stack-topic::parens-rewrite
317,pat_topic::bfs::bfs-multi-source
317,pat_ds::matrices::bfs::bfs-multi-source
322,pat_topic::dp::dp-1d-linear
322,pat_ds::array::dp::dp-1d-linear
322,pat_topic::dp::knapsack-unbounded
322,pat_ds::array::dp::knapsack-unbounded
323,pat_ds::graph::core::cc-dfs-uf
323,pat_topic::union-find::uf-basic
323,pat_ds::graph::union-find::uf-basic
324,pat_ds::array::sorting::sort-then-twoptr
327,pat_topic::sorting::merge-sort-counting
327,pat_ds::array::sorting::merge-sort-counting
328,pat_ds::linked-list::two-pointers::tp-fast-slow
329,pat_ds::graph::core::dag-longest-path
330,pat_ds::array::greedy::running-extreme
332,pat_ds::graph::core::euler-tour
333,pat_ds::bst::core::bst-bounds-validate
334,pat_ds::array::greedy::running-extreme
336,pat_ds::string::trie-topic::trie-grid-dfs
337,pat_topic::dp::tree-dp
337,pat_ds::tree::dp::tree-dp
338,pat_topic::bits::kernighan-popcount
338,pat_ds::array::bits::kernighan-popcount
340,pat_ds::string::sliding-window::sw-distinct-count
341,pat_topic::dfs::dfs-iterative-stack
341,pat_ds::tree::dfs::dfs-iterative-stack
342,pat_topic::bits::power-of-two-trick
342,pat_ds::array::bits::power-of-two-trick
343,pat_ds::array::dp::dp-1d-linear
344,pat_ds::string::two-pointers::tp-converging
345,pat_ds::string::two-pointers::tp-converging
346,pat_ds::queue::core::moving-average-stream
347,pat_topic::heap::top-k
347,pat_ds::array::heap::top-k
347,pat_topic::sorting::bucket-sort-freq
347,pat_ds::array::sorting::bucket-sort-freq
348,pat_ds::matrices::core::mat-set-zeros
349,pat_topic::two-pointers::tp-merge-walk
349,pat_ds::array::two-pointers::tp-merge-walk
349,pat_ds::array::hash::seen-set
350,pat_ds::array::hash::freq-counter
351,pat_ds::matrices::backtrack::word-search-dfs
353,pat_ds::matrices::core::mat-grid-dfs-bfs
354,pat_ds::array::dp::dp-lis
356,pat_ds::matrices::hash::seen-set
358,pat_ds::string::heap::event-driven-scheduling
359,pat_ds::array::hash::freq-counter
360,pat_ds::array::two-pointers::tp-converging
362,pat_ds::array::core::in-place-read-write
363,pat_ds::array::core::prefix-sum-hashmap
363,pat_topic::prefix-sum::ps-2d
363,pat_ds::matrices::prefix-sum::ps-2d
365,pat_topic::math::gcd-lcm
365,pat_ds::array::math::gcd-lcm
366,pat_ds::tree::core::post-order-depth
369,pat_ds::linked-list::core::list-digit-arithmetic
370,pat_topic::prefix-sum::difference-array
370,pat_ds::array::prefix-sum::difference-array
371,pat_topic::bits::xor-cancel
372,pat_topic::math::fast-power
372,pat_ds::array::math::fast-power
373,pat_topic::heap::k-way-merge
373,pat_ds::array::heap::k-way-merge
374,pat_ds::array::binary-search::bs-textbook
376,pat_ds::array::dp::dp-lis
377,pat_topic::dp::knapsack-unbounded
377,pat_ds::array::dp::knapsack-unbounded
378,pat_topic::heap::k-way-merge
378,pat_ds::matrices::heap::k-way-merge
379,pat_ds::queue::core::queue-from-stacks
380,pat_topic::design::array-hash-random
383,pat_ds::string::hash::freq-counter
387,pat_topic::hash::freq-counter
387,pat_ds::string::hash::freq-counter
389,pat_topic::bits::xor-cancel
389,pat_ds::string::bits::xor-cancel
392,pat_ds::string::two-pointers::tp-merge-walk
394,pat_topic::stack-topic::expression-eval
394,pat_ds::string::stack-topic::expression-eval
394,pat_topic::stack-topic::decode-string
394,pat_ds::string::stack-topic::decode-string
395,pat_ds::string::sliding-window::sw-at-most-k
399,pat_topic::union-find::uf-weighted
399,pat_ds::graph::union-find::uf-weighted
402,pat_topic::stack-topic::parens-rewrite
402,pat_ds::string::stack-topic::parens-rewrite
403,pat_ds::array::dp::dp-1d-linear
404,pat_ds::tree::dfs::dfs-template
406,pat_topic::greedy::exchange-argument
406,pat_ds::array::greedy::exchange-argument
407,pat_ds::matrices::two-pointers::tp-area-greedy
408,pat_ds::string::two-pointers::tp-merge-walk
409,pat_ds::string::hash::freq-counter
410,pat_topic::binary-search::bs-on-answer
410,pat_ds::array::binary-search::bs-on-answer
411,pat_ds::string::backtrack::partition-on-string
413,pat_ds::array::dp::dp-1d-linear
415,pat_ds::string::two-pointers::tp-converging
416,pat_topic::dp::knapsack-01
416,pat_ds::array::dp::knapsack-01
417,pat_topic::dfs::dfs-template
417,pat_ds::matrices::dfs::dfs-template
418,pat_ds::array::greedy::running-extreme
421,pat_topic::trie-topic::trie-xor-max
421,pat_ds::array::trie-topic::trie-xor-max
422,pat_topic::simulation::board-validate
424,pat_ds::string::sliding-window::sw-shrink-violation
427,pat_ds::tree::dfs::dfs-template
428,pat_ds::tree::core::serialize-tree
431,pat_ds::tree::dfs::dfs-template
432,pat_ds::linked-list::core::dll-cache-design
433,pat_ds::string::core::word-ladder-bfs
433,pat_topic::bfs::bfs-shortest-unweighted
433,pat_ds::string::bfs::bfs-shortest-unweighted
435,pat_ds::array::greedy::greedy-end-sorted
435,pat_ds::array::interval::interval-sort-end-greedy
436,pat_ds::array::binary-search::bs-textbook
437,pat_ds::tree::core::path-sum-dfs
438,pat_ds::string::core::anagram-keying
438,pat_ds::string::core::minimum-window
438,pat_topic::sliding-window::sw-fixed
438,pat_ds::string::sliding-window::sw-fixed
439,pat_ds::string::stack-topic::expression-eval
442,pat_ds::array::core::index-as-hash
443,pat_ds::string::core::in-place-read-write
444,pat_ds::graph::core::topo-sort
445,pat_ds::linked-list::core::list-digit-arithmetic
448,pat_ds::array::core::index-as-hash
449,pat_ds::tree::core::serialize-tree
450,pat_ds::bst::core::bst-insert-delete
450,pat_ds::bst::dfs::dfs-tree-mutate
451,pat_topic::sorting::bucket-sort-freq
451,pat_ds::string::sorting::bucket-sort-freq
452,pat_ds::array::greedy::greedy-end-sorted
456,pat_ds::array::stack-topic::monotonic-stack
459,pat_ds::string::core::string-match-kmp
460,pat_ds::linked-list::core::dll-cache-design
461,pat_topic::bits::kernighan-popcount
461,pat_ds::array::bits::kernighan-popcount
463,pat_ds::matrices::core::mat-grid-dfs-bfs
463,pat_topic::dfs::dfs-grid-flood
463,pat_ds::matrices::dfs::dfs-grid-flood
470,pat_topic::math::rejection-sampling
474,pat_topic::dp::knapsack-01
474,pat_ds::string::dp::knapsack-01
480,pat_topic::heap::two-heap-median
480,pat_ds::array::heap::two-heap-median
484,pat_ds::array::core::in-place-read-write
487,pat_ds::array::sliding-window::sw-shrink-violation
489,pat_ds::graph::dfs::dfs-template
490,pat_ds::matrices::dfs::dfs-template
491,pat_topic::backtrack::subset-combination
491,pat_ds::array::backtrack::subset-combination
491,pat_ds::array::dp::dp-lis
493,pat_topic::sorting::merge-sort-counting
493,pat_ds::array::sorting::merge-sort-counting
494,pat_topic::dp::knapsack-01
494,pat_ds::array::dp::knapsack-01
496,pat_topic::stack-topic::monotonic-stack
496,pat_ds::array::stack-topic::monotonic-stack
499,pat_ds::matrices::heap::dijkstra
502,pat_ds::array::heap::event-driven-scheduling
503,pat_topic::stack-topic::monotonic-stack
503,pat_ds::array::stack-topic::monotonic-stack
505,pat_ds::matrices::heap::dijkstra
515,pat_topic::bfs::bfs-level-order
515,pat_ds::tree::bfs::bfs-level-order
518,pat_topic::dp::knapsack-unbounded
518,pat_ds::array::dp::knapsack-unbounded
523,pat_ds::array::core::prefix-sum-hashmap
523,pat_topic::prefix-sum::ps-hashmap
